127.0.0.1 - - [15/Feb/2019:10:48:34 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:36 -0200] "GET /sMonitor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:36 -0200] "GET /sMonitor/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:36 -0200] "GET /sMonitor/resources/js/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:36 -0200] "GET /sMonitor/index.js HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:37 -0200] "GET /sMonitor/ HTTP/1.0" 200 600
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:37 -0200] "GET /sMonitor/resources/js/jquery-3.3.1.js HTTP/1.0" 200 271751
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:37 -0200] "GET /sMonitor/index.css HTTP/1.0" 200 286
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/js/jquery-ui.js HTTP/1.0" 200 520714
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/css/jquery-ui.css HTTP/1.0" 200 35997
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/index.js HTTP/1.0" 200 1094
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/dispositivo/cadastrarDispositivo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/dispositivo/js/dispositivo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/dispositivo/cadastrarDispositivo.html HTTP/1.0" 200 2339
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/dispositivo/consultarDispositivo.html HTTP/1.0" 200 1092
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:48:38 -0200] "GET /sMonitor/resources/dispositivo/css/dispositivo.css HTTP/1.0" 200 1228
